#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Sat Jun 12 20:51:53 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       nexys2_toplevel_map.ncd
#OUTPUT FILE:      nexys2_toplevel_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R9,vga_red<0>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R10,usb_data<7>,IOB,IO_L15P_2/D2/GCLK2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R11,usb_data<5>,IOB,IO,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R12,ps2_clk,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R13,usb_data<1>,IOB,IO_L22N_2/A22,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R14,usb_data<0>,IOB,IO_L24N_2/A20,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R15,pmod_b<2>,IBUF,IO_L03P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
R16,pmod_b<5>,IBUF,IO_L03N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
R17,switches<7>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
R18,pmod_b<1>,IBUF,IO_L02P_1/A14,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
T1,mem_data<15>,IOB,IO_L24N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T2,mem_oe,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,vga_hsync,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T5,flash_rp,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
T8,vga_red<1>,IOB,IO_L10N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,usb_data<3>,IOB,IO_L20P_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,usb_addr<0>,IOB,IO_L24P_2/A21,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T15,usb_ifclk,IBUF,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
T16,usb_slcs,IOB,IO_L26P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T17,pmod_b<3>,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
T18,pmod_b<6>,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,vga_vsync,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U4,vga_blue<1>,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U5,vga_blue<0>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U6,serial_in,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,DIFFMI,IP_L11P_2,UNUSED,,2,,,,,,,,,
U9,,DIFFM,IO_L13P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
U10,,DIFFMI,IP_L14P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,,IBUF,IP,UNUSED,,2,,,,,,,,,
U14,usb_flagb,IBUF,IP_L23N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U15,usb_int0,IBUF,IO_L25N_2/VS1/A18,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
U16,,DIFFS,IO_L26N_2/CCLK,UNUSED,,2,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,pmod_b<7>,IBUF,IO_L01P_1/A16,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,IBUF,IP,UNUSED,,2,,,,,,,,,
V3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
V4,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
V5,,,NC,,,,,,,,,,,,
V6,,,NC,,,,,,,,,,,,
V7,,,NC,,,,,,,,,,,,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,usb_slwr,IOB,IO_L13N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
V12,usb_pktend,IBUF,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V13,usb_addr<1>,IOB,IO_L19N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V14,usb_flaga,IBUF,IP_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V15,usb_sloe,IOB,IO_L25P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V16,usb_flagc,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
